时间,位移,载荷,拉伸应力,拉伸应变 (位移)
(s),(mm),(N),(MPa),(mm/mm)
0,0,4.63293,0.05852,0
0.1,0.00011,5.60206,0.07076,0
0.2,0.00085,26.71114,0.33739,0.00001
0.3,0.00048,19.07564,0.24095,0
0.4,0.00163,50.12607,0.63315,0.00002
0.5,0.00533,183.93277,2.32328,0.00005
0.6,0.00828,287.81848,3.63548,0.00008
0.7,0.00914,314.52557,3.97282,0.00009
0.8,0.01076,368.11838,4.64976,0.00011
0.9,0.01264,426.45731,5.38664,0.00013
1,0.01453,480.41638,6.06821,0.00015
1.1,0.01614,508.35147,6.42106,0.00016
1.2,0.01768,491.72623,6.21107,0.00018
1.3,0.01923,507.4827,6.41009,0.00019
1.4,0.02104,541.83856,6.84404,0.00021
1.5,0.02292,571.78491,7.2223,0.00023
1.6,0.02448,589.41608,7.445,0.00024
1.7,0.02597,609.14789,7.69424,0.00026
1.8,0.02754,630.84332,7.96827,0.00028
1.9,0.02939,657.73938,8.308,0.00029
2,0.03125,679.91663,8.58813,0.00031
2.1,0.03277,694.21533,8.76873,0.00033
2.2,0.03433,714.58636,9.02604,0.00034
2.3,0.03596,735.91351,9.29543,0.00036
2.4,0.03776,760.47186,9.60563,0.00038
2.5,0.03953,780.31403,9.85626,0.00039
2.6,0.0411,796.86285,10.06529,0.00041
2.7,0.04266,815.60931,10.30208,0.00043
2.8,0.04421,835.25098,10.55018,0.00044
2.9,0.046,860.67981,10.87137,0.00046
3,0.04771,879.3302,11.10695,0.00048
3.1,0.04933,897.11713,11.33162,0.00049
3.2,0.05097,916.59326,11.57762,0.00051
3.3,0.05258,934.86102,11.80836,0.00053
3.4,0.05436,935.96149,11.82226,0.00054
3.5,0.05606,831.94635,10.50844,0.00056
3.6,0.05767,867.13696,10.95293,0.00058
3.7,0.05934,909.10913,11.48309,0.00059
3.8,0.06096,945.27545,11.93991,0.00061
3.9,0.06271,977.47156,12.34658,0.00063
4,0.06444,995.61548,12.57576,0.00064
4.1,0.06603,1006.48657,12.71308,0.00066
4.2,0.06773,1024.02979,12.93467,0.00068
4.3,0.06937,1039.53699,13.13054,0.00069
4.4,0.07102,1057.00464,13.35118,0.00071
4.5,0.07268,1073.34131,13.55753,0.00073
4.6,0.07434,1088.83777,13.75327,0.00074
4.7,0.0761,1106.59961,13.97762,0.00076
4.8,0.07777,1120.69397,14.15565,0.00078
4.9,0.07929,1133.26135,14.31439,0.00079
5,0.08095,1150.61816,14.53362,0.00081
5.1,0.08262,1166.90198,14.73931,0.00083
5.2,0.0844,1185.69495,14.97668,0.00084
5.3,0.08621,1201.83728,15.18058,0.00086
5.4,0.08763,1209.29028,15.27472,0.00088
5.5,0.08931,1228.56934,15.51824,0.00089
5.6,0.09094,1244.36926,15.71781,0.00091
5.7,0.09271,1263.27905,15.95666,0.00093
5.8,0.09443,1278.2981,16.14637,0.00094
5.9,0.09585,1286.93604,16.25548,0.00096
6,0.09749,1305.46973,16.48958,0.00097
6.1,0.09928,1324.82971,16.73412,0.00099
6.2,0.10108,1341.94592,16.95031,0.00101
6.3,0.10282,1355.26123,17.1185,0.00103
6.4,0.1042,1361.33289,17.19519,0.00104
6.5,0.10583,1379.70593,17.42727,0.00106
6.6,0.10761,1399.01172,17.67112,0.00108
6.7,0.10959,1419.49536,17.92985,0.00109
6.8,0.11125,1426.95093,18.02402,0.00111
6.9,0.11259,1433.6637,18.10881,0.00112
7,0.11419,1451.7821,18.33767,0.00114
7.1,0.11601,1473.68213,18.61429,0.00116
7.2,0.11791,1491.25684,18.83628,0.00118
7.3,0.11958,1501.36841,18.964,0.00119
7.4,0.12091,1506.9447,19.03444,0.00121
7.5,0.12255,1526.74841,19.28458,0.00122
7.6,0.12439,1546.97693,19.54009,0.00124
7.7,0.12628,1565.06396,19.76855,0.00126
7.8,0.12794,1573.95044,19.8808,0.00128
7.9,0.12924,1578.32117,19.936,0.00129
8,0.13081,1596.47388,20.16529,0.00131
8.1,0.13272,1620.20081,20.46499,0.00133
8.2,0.1347,1638.48047,20.69588,0.00135
8.3,0.13622,1642.50635,20.74673,0.00136
8.4,0.13756,1650.67078,20.84986,0.00137
8.5,0.13914,1668.56458,21.07588,0.00139
8.6,0.141,1691.66479,21.36766,0.00141
8.7,0.14288,1708.06531,21.57482,0.00143
8.8,0.14447,1715.63501,21.67043,0.00144
8.9,0.14591,1724.0791,21.77709,0.00146
9,0.14744,1738.67712,21.96148,0.00147
9.1,0.14931,1761.87134,22.25445,0.00149
9.2,0.15118,1777.86438,22.45646,0.00151
9.3,0.15276,1785.64282,22.55471,0.00153
9.4,0.15426,1796.00439,22.68559,0.00154
9.5,0.15581,1810.39941,22.86742,0.00156
9.6,0.15768,1833.07324,23.15381,0.00158
9.7,0.15961,1850.30847,23.37151,0.00159
9.8,0.16112,1855.57043,23.43798,0.00161
9.9,0.16261,1867.37,23.58702,0.00162
10,0.16417,1882.78052,23.78167,0.00164
10.1,0.16608,1906.74292,24.08435,0.00166
10.2,0.16791,1921.07068,24.26532,0.00168
10.3,0.16943,1928.71631,24.36189,0.00169
10.4,0.17095,1940.9303,24.51617,0.00171
10.5,0.17253,1956.37854,24.7113,0.00172
10.6,0.17436,1978.33496,24.98864,0.00174
10.7,0.17621,1994.52063,25.19308,0.00176
10.8,0.1777,2001.64026,25.28301,0.00178
10.9,0.17932,2017.13818,25.47876,0.00179
11,0.1809,2030.82751,25.65168,0.00181
11.1,0.18267,2050.35376,25.89832,0.00182
11.2,0.18447,2067.43359,26.11405,0.00184
11.3,0.18597,2075.52686,26.21628,0.00186
11.4,0.18758,2091.13574,26.41344,0.00187
11.5,0.18925,2107.53589,26.62059,0.00189
11.6,0.19098,2124.99707,26.84115,0.00191
11.7,0.19276,2141.68652,27.05195,0.00193
11.8,0.19429,2150.82568,27.16739,0.00194
11.9,0.19597,2168.11035,27.38572,0.00196
12,0.19762,2182.83325,27.57168,0.00197
12.1,0.19929,2199.20361,27.77846,0.00199
12.2,0.20105,2216.13306,27.9923,0.00201
12.3,0.2026,2227.17773,28.1318,0.00202
12.4,0.20428,2243.83374,28.34219,0.00204
12.5,0.20606,2262.50488,28.57803,0.00206
12.6,0.20775,2276.92285,28.76014,0.00208
12.7,0.20942,2291.38501,28.94282,0.00209
12.8,0.21098,2304.11572,29.10362,0.00211
12.9,0.21275,2324.21265,29.35747,0.00213
13,0.21448,2340.052,29.55754,0.00214
13.1,0.21607,2352.4165,29.71371,0.00216
13.2,0.21774,2369.06079,29.92395,0.00218
13.3,0.2193,2381.6748,30.08328,0.00219
13.4,0.22108,2402.21631,30.34274,0.00221
13.5,0.22288,2419.9353,30.56655,0.00223
13.6,0.2244,2429.43896,30.6866,0.00224
13.7,0.22601,2445.15332,30.88509,0.00226
13.8,0.22768,2461.72876,31.09445,0.00227
13.9,0.22946,2481.31079,31.34179,0.00229
14,0.23119,2496.13184,31.529,0.00231
14.1,0.23262,2504.40137,31.63346,0.00232
14.2,0.23426,2522.31519,31.85973,0.00234
14.3,0.23599,2541.34082,32.10004,0.00236
14.4,0.23774,2558.75073,32.31995,0.00238
14.5,0.23955,2576.31934,32.54186,0.00239
14.6,0.24099,2583.01489,32.62643,0.00241
14.7,0.24254,2598.104,32.81703,0.00242
14.8,0.24424,2617.38672,33.06059,0.00244
14.9,0.24607,2638.44482,33.32658,0.00246
15,0.24785,2653.8811,33.52156,0.00248
15.1,0.24922,2659.43408,33.5917,0.00249
15.2,0.25083,2677.36304,33.81816,0.00251
15.3,0.25259,2697.27954,34.06973,0.00252
15.4,0.25448,2718.92944,34.34319,0.00254
15.5,0.25625,2733.13599,34.52264,0.00256
15.6,0.25763,2738.69556,34.59286,0.00257
15.7,0.25919,2755.10742,34.80016,0.00259
15.8,0.26099,2777.96387,35.08886,0.00261
15.9,0.26282,2797.16919,35.33145,0.00263
16,0.26463,2813.56323,35.53852,0.00264
16.1,0.26592,2815.77954,35.56652,0.00266
16.2,0.26747,2833.1228,35.78558,0.00267
16.3,0.26928,2856.93994,36.08642,0.00269
16.4,0.27121,2879.35205,36.36951,0.00271
16.5,0.27297,2892.70776,36.53821,0.00273
16.6,0.27423,2894.15283,36.55647,0.00274
16.7,0.27577,2911.93042,36.78101,0.00275
16.8,0.27765,2938.16064,37.11233,0.00277
16.9,0.27949,2957.17407,37.35249,0.00279
17,0.28125,2972.17603,37.54198,0.00281
17.1,0.28256,2975.59741,37.5852,0.00282
17.2,0.28407,2991.90723,37.79121,0.00284
17.3,0.2859,3017.39917,38.1132,0.00286
17.4,0.28782,3039.66431,38.39444,0.00288
17.5,0.28958,3053.54321,38.56975,0.00289
17.6,0.29089,3056.13281,38.60246,0.00291
17.7,0.2924,3072.75415,38.8124,0.00292
17.8,0.29421,3097.45557,39.12441,0.00294
17.9,0.29614,3120.97119,39.42144,0.00296
18,0.29786,3133.55664,39.58041,0.00298
18.1,0.29925,3139.10889,39.65054,0.00299
18.2,0.30074,3153.50659,39.8324,0.003
18.3,0.3026,3179.87061,40.16541,0.00302
18.4,0.30452,3202.19556,40.4474,0.00304
18.5,0.30618,3213.30957,40.58778,0.00306
18.6,0.30771,3223.6748,40.7187,0.00307
18.7,0.30918,3236.3269,40.87851,0.00309
18.8,0.31103,3261.47559,41.19617,0.00311
18.9,0.31292,3283.02563,41.46837,0.00313
19,0.31458,3294.79272,41.617,0.00314
19.1,0.31603,3303.37207,41.72537,0.00316
19.2,0.31751,3317.16797,41.89963,0.00317
19.3,0.31938,3343.91675,42.2375,0.00319
19.4,0.32122,3363.24341,42.48161,0.00321
19.5,0.32287,3375.84692,42.64081,0.00323
19.6,0.3244,3386.80029,42.77916,0.00324
19.7,0.32591,3399.77222,42.94302,0.00326
19.8,0.32769,3423.16895,43.23854,0.00327
19.9,0.3295,3442.74927,43.48586,0.00329
20,0.33115,3455.68066,43.6492,0.00331
20.1,0.33274,3468.74512,43.81422,0.00332
20.2,0.3342,3479.91895,43.95536,0.00334
20.3,0.33596,3502.73291,44.24353,0.00336
20.4,0.33774,3522.13306,44.48857,0.00337
20.5,0.33935,3535.11206,44.65251,0.00339
20.6,0.34105,3552.38647,44.87071,0.00341
20.7,0.34253,3562.30664,44.99601,0.00342
20.8,0.34428,3584.47095,45.27597,0.00344
20.9,0.34602,3602.38257,45.50222,0.00346
21,0.34768,3617.01709,45.68707,0.00347
21.1,0.34941,3634.92139,45.91322,0.00349
21.2,0.35094,3645.61377,46.04827,0.00351
21.3,0.35264,3665.35596,46.29764,0.00352
21.4,0.35437,3683.82031,46.53087,0.00354
21.5,0.35601,3699.29102,46.72628,0.00356
21.6,0.3578,3719.03003,46.97561,0.00357
21.7,0.35945,3732.98853,47.15192,0.00359
21.8,0.361,3746.53052,47.32297,0.00361
21.9,0.36264,3763.68018,47.53959,0.00362
